"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Страница экологического воздействия","Скриншот счетчика энергии","0","1","0","0","0"
"","","","0","12","0","0","0"
"","Страница экологического воздействия","Скриншот счетчика воды","0","1","0","0","0"
"","Страница экологического воздействия","Скриншот счетчика CO2","0","1","0","0","0"
